type x y yerrup yerrdown
pre 235.0 1.04132206035 0.0137194314887 0.0137194314887
post 235.0 1.00037762606 0.0131799880423 0.0131799880423
pre 310.0 1.03321675 0.0205050153214 0.0205050153214
post 310.0 0.999601351081 0.0198378907613 0.0198378907613
pre 412.5 1.06410056124 0.0347998094325 0.0347998094325
post 412.5 1.00064331502 0.0327245355759 0.0327245355759
pre 737.5 0.968187481563 0.0669709264486 0.0669709264486
post 737.5 0.996969875416 0.0689618462017 0.0689618462017
unc 200.0 270.0 0.0133363286214 0.0133363286214
unc 270.0 350.0 0.0241386215447 0.0241386215447
unc 350.0 475.0 0.0396252039631 0.0396252039631
unc 475.0 1000.0 0.0776078087919 0.0776078087919
