type x y yerrup yerrdown
pre 235.0 1.00444578903 0.042752053141 0.042752053141
post 235.0 0.98920239291 0.0421032510969 0.0421032510969
pre 310.0 1.08152381772 0.0705508347973 0.0705508347973
post 310.0 1.01919904056 0.0664852146184 0.0664852146184
pre 412.5 0.873003036331 0.1008057036 0.1008057036
post 412.5 0.883435917716 0.102010388927 0.102010388927
pre 737.5 1.30872009431 0.256661134449 0.256661134449
post 737.5 1.0673960489 0.209333593951 0.209333593951
unc 200.0 270.0 0.0338236341464 0.0338236341464
unc 270.0 350.0 0.0493053402889 0.0493053402889
unc 350.0 475.0 0.0813453641054 0.0813453641054
unc 475.0 1000.0 0.153118784369 0.153118784369
