proc xmin xmax y yerr rel
qcd 250.0 270.0 192.012386322 64.6426852615 0.336658933831
qcd 270.0 350.0 69.6551418304 23.45924382 0.336791272023
qcd 350.0 475.0 6.33866526186 2.13378002767 0.336629233367
qcd 475.0 1000.0 6.30459613167 2.12341576395 0.336804407388
zll 250.0 270.0 81.6240882874 1.82174488735 0.0223187165158
zll 270.0 350.0 138.599843979 3.09350677459 0.0223196988235
zll 350.0 475.0 36.8621088564 0.820937431305 0.0222704955515
zll 475.0 1000.0 5.86729750503 0.13123924017 0.022367919823
dibosons 250.0 270.0 56.8153619766 3.93790082557 0.0693104943551
dibosons 270.0 350.0 139.683094025 9.68514769513 0.0693365776493
dibosons 350.0 475.0 58.1183433533 4.02976934785 0.0693373058374
dibosons 475.0 1000.0 25.1640608534 1.74508610728 0.0693483503097
stop 250.0 270.0 45.4904747009 5.66061856506 0.124435249407
stop 270.0 350.0 88.066368103 10.9807911394 0.124687680166
stop 350.0 475.0 25.7386583835 3.20422562874 0.124490778851
stop 475.0 1000.0 3.16373154055 0.393589121433 0.124406611746
wjets 250.0 270.0 2799.6975708 56.2969877531 0.0201082389542
wjets 270.0 350.0 5934.24499512 69.3029749993 0.0116784822764
wjets 350.0 475.0 2247.84851074 26.488897787 0.011784111634
wjets 475.0 1000.0 608.324754238 24.4847407953 0.0402494566014
ttbar 250.0 270.0 150.353288651 3.34763459919 0.0222651238908
ttbar 270.0 350.0 259.058818817 5.75938147774 0.0222319452549
ttbar 350.0 475.0 66.1049336195 1.46747744747 0.0221992121786
ttbar 475.0 1000.0 8.07804570068 0.180226246591 0.0223106247809
