type x y yerrup yerrdown
pre 260.0 0.979559748428 0.0618292621311 0.0618292621311
post 260.0 1.00099128314 0.0631820085867 0.0631820085867
pre 310.0 0.897701116975 0.0392162542365 0.0392162542365
post 310.0 0.958459676316 0.0418705041479 0.0418705041479
pre 412.5 0.977440127498 0.0637611636513 0.0637611636513
post 412.5 0.97300567432 0.0634718918209 0.0634718918209
pre 737.5 1.51691142188 0.146645358092 0.146645358092
post 737.5 0.993470912336 0.0960424554743 0.0960424554743
unc 250.0 270.0 0.0463370687075 0.0463370687075
unc 270.0 350.0 0.0352720109913 0.0352720109913
unc 350.0 475.0 0.0524186298777 0.0524186298777
unc 475.0 1000.0 0.103741319042 0.103741319042
