type x y yerrup yerrdown
pre 50.0 0.976226948457 0.0274911723527 0.0274911723527
post 50.0 1.00434374885 0.0282829593515 0.0282829593515
pre 87.5 0.946744736722 0.0612398234335 0.0612398234335
post 87.5 1.02264243296 0.0661492370658 0.0661492370658
pre 125.0 1.00324323164 0.0606081399105 0.0606081399105
post 125.0 0.953828621151 0.0576228941282 0.0576228941282
pre 375.0 1.18866000727 0.0741465777202 0.0741465777202
post 375.0 1.04752699486 0.0653429418532 0.0653429418532
unc 25.0 75.0 0.0219693653473 0.0219693653473
unc 75.0 100.0 0.0538837959674 0.0538837959674
unc 100.0 150.0 0.0521426296033 0.0521426296033
unc 150.0 600.0 0.0503326772757 0.0503326772757
