type x y yerrup yerrdown
pre 50.0 0.9233849555 0.111976872488 0.111976872488
post 50.0 1.00543464035 0.121926858183 0.121926858183
pre 87.5 0.786674281859 0.2622247502 0.2622247502
post 87.5 0.773826319892 0.257942096381 0.257942096381
pre 125.0 1.81484480493 0.416353958009 0.416353958009
post 125.0 1.33326683041 0.305872392183 0.305872392183
pre 375.0 0.777163829977 0.245760775832 0.245760775832
post 375.0 0.730899127722 0.231130592746 0.231130592746
unc 25.0 75.0 0.0545776822665 0.0545776822665
unc 75.0 100.0 0.119170867684 0.119170867684
unc 100.0 150.0 0.158703184285 0.158703184285
unc 150.0 600.0 0.103286817736 0.103286817736
