type x y yerrup yerrdown
pre 50.0 0.982438810406 0.0332886690234 0.0332886690234
post 50.0 1.01764950754 0.0344817379764 0.0344817379764
pre 87.5 0.848267574449 0.0305496103244 0.0305496103244
post 87.5 0.999940197931 0.0360119664062 0.0360119664062
pre 125.0 0.944778269691 0.0349438868706 0.0349438868706
post 125.0 0.999838579826 0.0369803660214 0.0369803660214
pre 375.0 1.0148388423 0.0445894582418 0.0445894582418
post 375.0 0.999761454235 0.0439269958511 0.0439269958511
unc 25.0 75.0 0.0386002888103 0.0386002888103
unc 75.0 100.0 0.0363037249189 0.0363037249189
unc 100.0 150.0 0.0340105811023 0.0340105811023
unc 150.0 600.0 0.0490062271336 0.0490062271336
